walker0,walker1,walker2,walker3,walker4,walker5
300.0,353.49,414.11,482.85,560.86,600.0
300.0,353.49,482.85,414.11,560.86,600.0
300.0,353.49,482.85,414.11,560.86,600.0
300.0,353.49,414.11,482.85,600.0,560.86
300.0,414.11,353.49,600.0,482.85,560.86
300.0,414.11,600.0,353.49,560.86,482.85
300.0,600.0,414.11,560.86,353.49,482.85
300.0,600.0,414.11,560.86,353.49,482.85
300.0,600.0,414.11,560.86,353.49,482.85
300.0,600.0,414.11,560.86,353.49,482.85
300.0,600.0,414.11,560.86,353.49,482.85
300.0,600.0,414.11,560.86,482.85,353.49
300.0,600.0,414.11,482.85,560.86,353.49
300.0,600.0,482.85,414.11,353.49,560.86
300.0,482.85,600.0,353.49,414.11,560.86
300.0,482.85,600.0,353.49,560.86,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,560.86,353.49,414.11
300.0,482.85,600.0,353.49,560.86,414.11
300.0,482.85,600.0,353.49,414.11,560.86
300.0,482.85,600.0,353.49,414.11,560.86
300.0,482.85,600.0,353.49,414.11,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,600.0,414.11,353.49,560.86
300.0,482.85,414.11,600.0,353.49,560.86
300.0,414.11,482.85,600.0,353.49,560.86
414.11,300.0,482.85,600.0,353.49,560.86
414.11,300.0,482.85,600.0,353.49,560.86
